央视,#genre#
CCTV-1,http://101.200.122.188/epg/ysp.php?id=cctv1$央视频
CCTV-2,http://101.200.122.188/epg/ysp.php?id=cctv2$央视频
CCTV-3,http://101.200.122.188/epg/ysp.php?id=cctv3$央视频
CCTV-4,http://101.200.122.188/epg/ysp.php?id=cctv4$央视频
CCTV-5,http://101.200.122.188/epg/ysp.php?id=cctv5$央视频
CCTV-5+,http://101.200.122.188/epg/ysp.php?id=cctv5p$央视频
CCTV-6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV-6,http://101.200.122.188/epg/ysp.php?id=cctv6$央视频
CCTV-6,http://101.200.122.188/epg/ysp.php?id=CCTV6$央视频
CCTV-7,http://101.200.122.188/epg/ysp.php?id=cctv7$央视频
CCTV-8,http://101.200.122.188/epg/ysp.php?id=cctv8$央视频
CCTV-9,http://101.200.122.188/epg/ysp.php?id=cctv9$央视频
CCTV-10,http://101.200.122.188/epg/ysp.php?id=cctv10$央视频
CCTV-11,http://101.200.122.188/epg/ysp.php?id=cctv11$央视频
CCTV-12,http://101.200.122.188/epg/ysp.php?id=cctv12$央视频
CCTV-13,http://101.200.122.188/epg/ysp.php?id=cctv13$央视频
CCTV-14,http://101.200.122.188/epg/ysp.php?id=cctv14$央视频
CCTV-15,http://101.200.122.188/epg/ysp.php?id=cctv15$央视频
CCTV-16,http://101.200.122.188/epg/ysp.php?id=cctv16$央视频
CCTV-17,http://101.200.122.188/epg/ysp.php?id=cctv17$央视频
CCTV-4K,http://101.200.122.188/epg/ysp.php?id=cctv4k$央视频
CCTV-8K,http://101.200.122.188/epg/ysp.php?id=cctv8k$央视频
CCTV-1,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://39.135.138.60:18890/PLTV/88888910/224/3221226221/index.m3u8
CCTV-2,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://39.135.138.60:18890/PLTV/88888910/224/3221226254/index.m3u8
CCTV-3,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3,http://39.135.138.60:18890/PLTV/88888910/224/3221225634/index.m3u8?fmt=ts2hls
CCTV-4,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4,http://39.135.138.60:18890/PLTV/88888910/224/3221226277/index.m3u8
CCTV-5,http://39.135.138.60:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+,http://39.135.138.60:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+,http://39.135.138.60:18890/PLTV/88888910/224/3221225706/index.m3u8
